Name,Review,Rating,Price,Category,Protect_factor,Mask_func,Mask_img,Purchase_link,Mask_review
애터미 황사 마스크 KF94 (5매입 지퍼백),0,0.0,6900,먼지차단마스크,,,https://shop-phinf.pstatic.net/20210919_93/1632042021046NNjyb_PNG/33177854868672811_1085209845.png?type=m510,https://smartstore.naver.com/lovelyluna/products/5873146602,[]
웰커버 kf94 새부리형 대형 마스크 샘해밍턴H 5매입,3,5.0,2950,먼지차단마스크,KF94/N95,미세먼지필터@김서림방지@저자극@자외선차단@방수@방한@일회용@접이식,https://shop-phinf.pstatic.net/20210930_238/1633012555820n8jNj_JPEG/34148444530910645_1090039613.jpg?type=m510,https://smartstore.naver.com/ibommask/products/5923721507,숨쉬기가 편하고 넓어서 밀착되어서 좋아요 숨쉬기가 편하고 넓어서 밀착되어서 좋아요 숨쉬기가 편하고 넓어서 밀착되어서 좋아요
[AIRDAYS] 에어데이즈 KF94 슬림핏 마스크 - 소형,14,4.7,25200,먼지차단마스크,KF94/N95,미세먼지필터@일회용@접이식,https://shop-phinf.pstatic.net/20210819_75/1629339916275jUas6_JPEG/30475758988585919_1829067927.jpg?type=m510,https://smartstore.naver.com/dwbio2020/products/5797540697,첫 구매입니다  대형 써보고 촥 감기는게 너무 좋아서 아이것도 궁새 해봤어요얇기는 엄청 얇아요 그러다보니 마스크 모양이 유지가 잘 안되는것 같아요입쪽이 유난히 많이 나오네요마스크 주변에 동글동글 장식처럼 투명하게 난 구멍이 많은데 충분히 미세먼지나 바이러스 차단이 가능한지 궁금합니다 슬림핏은 처음인데 4살된 아기가 잘 착용하고 있습니다 다음에 재구매할 의사 있습니다 다른것보다 얇긴하네요 아이가 요것만 써서 항상 잘 사용하고 있어요 아이가 얇아서 더 편하대요 재구매항상 잘사용하고있어요 한달사용기에어데이즈 사용하기정말좋아요 좋아요 애기들이 편안해하고 좋아해요 한달사용기얇아서 아이가 덜 답답해하네요 얇고 좋은데 마스크가 포장지에 찝혀있어요 한박스 다 이러네요 이거 까서 반품도 안되고 얇아서 그런건지 유독 이제품만 귀 끈이 잘 떨어져요 7살까지는 소형이 딱 맞네요 3살 아이한테는 좀커서 끈을 묶어서 사용중이에요  얇아서  숨쉬기가 너무 편해요 한달사용기엄청 얇아요 엄청 얇아요 슬림핏 처음 구매해 봤는데 여름에 썻으면 더 좋았을듯 하네요 좋은제품 잘 구매했습니다 아이들이 사용하기에 편합니다
KF94 클래빅스 3D 보건용마스크 50매 (대형),4,4.5,15000,먼지차단마스크,KF94/N95,미세먼지필터@김서림방지@저자극@방한@자외선차단@일회용@접이식,https://shop-phinf.pstatic.net/20210924_7/1632473313824rGsnx_PNG/39937946875533990_1044755680.png?type=m510,https://smartstore.naver.com/2113/products/5870113066,마스크가 잘 맞아서 구매했어요 클래빅스만 사용해요 좀 예민한편이라 귀아픈거 질색인데 이거 백화점에서 구매하고 써보니 귀가 하나도 안아파서 신경도 안쓰고 잘 사용했었거든요 이번엔 인터넷구매했는데 제가 사용하던거랑 같은게 맞는지 이번에 구매한건 귀 밴드가 좀 타이트해서 아프네요;;; 마스크는 이제 필수죠
국내산 KF94마스크/굿/의약외품/보건용,87,4.7,550,먼지차단마스크,KF94/N95,미세먼지필터@김서림방지@저자극@일회용@접이식,https://shop-phinf.pstatic.net/20200915_217/16001505742569Efrn_JPEG/37512116917483123_69539863.jpg?type=m510,https://smartstore.naver.com/danaoffice/products/5102989782,한달사용기가격 저렴하고 좋은것같아용 BEST후기가 없어 반신반의로택배비가 있어 고민하다 200개를 주문했어요어제 저녁 받아서아침출근부터 쭈욱 사용하는데요1 냄새가 없어요2 콧등 및 전체적인 감싸주는것이 좋아요3 겨울철 94마스크보다 얇고 숨쉬기 편해요4장시간 착용중인데편안해요5먼지나 보풀이 입으로 코로 들어가는 느낌 없어요6 얼큰이는 조금 작을 수도 있어요배송이 빠르게 왔고포장도 갯수도 정확했어요가격도 만족스러워재구매 의사 또 있어요부지런히 사용후 다시 찾아올께요 한달사용기저렴하다고 쟁겨뒀더니 더 가격내려가 맘 쓰리지만 숨쉬기 편하고 좋아요 재구매가성비좋고 품질이 아주좋아요 한달사용기부모님께 선물해드렸는데 좋아하셨어요재구매의사있습니다 한달사용기좋아요 잘쓰고있어요 한달사용기튼튼하고 화장이 마스크에잘 안묻어나게입체적으로잘만들어졌어요만족합니다 얼굴 작은 성인여자 착용 시 크기 적당하고 편해요 얼굴 큰 성인남자는 작네요 만족합니다 재구매품질대비 가성비 좋아요빠른배송 한달사용기좋아요 굿굿굿  저렴하게잘샀어요 총60개샀는데  한개씩 다 포장되어있었고 30개씩 한박스에 담겨있었어요 너무감사합니다 배송빠르고 국내산이라 안심되요 한달사용기좋은제품 잘살씁니다 많이파세요 한달사용기남자한테는 좀 작은감있어서 여자인 저와 고학년아들 조금묶어서 잘쓰고있어요 싸게 잘샀어요 가을 겨울에 쓰려고 샀어요포장도 잘되어있고 국내생산이라 믿고 쓰려구요 아직 사용 안해봤지만 쟁겨놔야 맘편한 마스크세상요긴하게 잘사용할거같아요30매가 한박스로 3박스 낱개10개수량 딱맞게오고 배송도 빨랐습니다 재구매94인데 얇고 좋아서 부모님댁에 보내드렸어요 잘쓸게요 한달사용기재구매너무 좋아요가성비와 품질이 국산 제품이 580원 이라뇨 착한가격에 하나씩 포장이라 더 위생적으로 사용 가능할듯요유통기한도 23년이니까 넉넉합니다  최근 제조품이라는 거겠죠 한달사용기사이즈가넉넉해서좋습니다 한달사용기귀가 아프지않고 아주편해요재구매해야겠어요 한달사용기만족하며 사용중이에요 하루빨리 코로나가 종식되길바래봅니다 한달사용기만족하며 사용중이에요 하루빨리 코로나가 종식되길바래봅니다 한달사용기숨쉬기 편한 마스크입니다 가격이 넘 좋아서주문했는데 마스크도넘 좋네요화장해도 얼굴면에 많이 닿지않아좋아요 한달사용기가성비가 너무 좋아요 성인여성이나 얼굴 작으신 남자분들 쓰기 좋아요 재구매 예정입니다 재구매가성비 대비 품질이  너무 좋아요 저렴하게 잘 샀어요 인증제품이라 신뢰도 가구요 굿굿굿 잘쓸께요많이 파세요 저령하게 잘샀어요 겨울에쓰시라고 친정에보내드렸어요 잘 받았습니당 끈이 떨어질랑말랑하는게 좀 있었어요 ㅎ 배송빠르고 싸고 좋아요 갯수도 정확히 들어있네요 아직 사용 전이라 정확한 평이 어렵네요 배송은 잘 왔어요 금액이너무맘에들어서샀네요잘쓸께요 좋은 가격에 사서 쟁여두니 맘이 편하네요 잘쓸게요 위아래 길이가 조금 짧은거 같지만 잘 쓰고 있어요 이가격에 국내산이라니 믿기지가 않네요 냄새가 안나서 좋아요 저렴하게 잘구입요 가격은 너무 낮아서 좋은건지 뭔지 모르겠네요저는 상자에 안오고 비닐에 그냥 낱개로 와서 칼로 찢었더니 하난 그냥버려요 개수 맞춰서 구매하라고해서 개수맞췄는데 상자한상자로 오는줄알았는데 기대안했는데 질도 뻣뻣하고 좋아요 재구매상품 잘 받았습니다 아직 써보진 않았지만 이제 쓸 날씨가 맘같아선 쓸일이 없으면 좋겠지만 깔끔 포장에 좋네요 코로나 때문에 못 살겠는데마스크 덕분에 잘 버티고 있습니다저렴한 단가에 배송도 빠르게 해주셔서 감사합니다 코로나를 위해 준비했습니다언제끝나냐 코로나 나랑싸울래 강사합니다 잘쓸게요 배송빠르고 냄새가 안나서 좋아요 상품 잘 받았습니다 좋은가격에 잘샀습니다 30개 구매했는데도 박스로 오지 않고 비닐에 넣어와서 좀 그랬어요 코로나가 잠잠해질때까지는 마스크가 필수이기때문에 저렴한 가격으로 구입할 수 있어 좋습니다 BEST배송이 빨랐어요 가격도 착해서 다음에 또 구매할께요 배송은 빠른편은아니에요 추석지나면 마스크 더더 많이 필요할듯해서 구매했어요 배송은 빠른편은아니에요 추석지나면 마스크 더더 많이 필요할듯해서 구매했어요 배송빠르구요개별포장이라좋아요 마스크 여러개 써봤지만이거 너무 좋아요 저렴하게 구입했어요잘받았다고 하네요 마스크가격이 합리적이라서 좋고 편해요 좋아요 잘 받았습니다 크기도 넉넉하고 품질도 아주 좋습니다지인께 선물합니다 가격 좋아요 굿굿굿 재구매코로나시국에 가성비가 좋은 상품입니다 써보진않았지만 착한가격에 구매해서 좋아요잘쓸께요 가격대비 상품이 대만족입니다 품질은 그냥 쏘쏘해요KF라 믿고 써요 좋아요싸게잘샀어요 이제 그만 코비나인틴 저렴하게 좋은 마스크 잘 샀어요 배송빠르고 낱개포장이라 좋앙ᆢㄷ 사이즈도 맞고저렴히 샀어요 배송빠르고 좋습니다 사이즈도넉넉하고가성비도좋습니다 개별포장에 착한가격좋아요 저렴하게 잘 샀어요 저렴하게잘산것같아요 포장상태도 좋고만족합니다 마스크 싸고 좋습니다 가격도 싸고 제품도 좋네요 얇긴한데 쓸만합니다 얼굴 쉐입 괜찮아요 빠른배송감사합니다 만족합니다다만 박스가 조금 찌그러진 부분이 조금 아쉽습니다 얼굴 작은 성인여성에게 잘 맞을꺼 같아요 작은감이 있어요 재구매네좋아요감사합니다아 재구매저렴한 가격에 구매 했어요 좋습니다아 감사합니다 94제품중에 최저가 같아요
크리넥스 건강마스크 대형 30매 국산 덴탈마스크 코로나 비말 개별포장 귀편한 얇은 마스크,91,4.8,13950,먼지차단마스크,KF-AD,일회용@저자극@김서림방지@미세먼지필터@접이식,https://shop-phinf.pstatic.net/20211118_243/1637224266733hFCy8_PNG/38360165411700864_1650658541.png?type=m510,https://smartstore.naver.com/marketmro/products/5462105204,한달사용기한개씩 포장되어 있어요 한달사용기얇은점이제일좋아요운동할때 한달사용기재구매덴탈중에 제일괜찮은것같아요 재질도매끄러워서 가는 털같은게 없으니 간지럽지도않고 좋아요 재구매여름내내 애용하는 마스크 12박스째아주 좋아요 좋아요 한달사용기재구매너무 편하게 잘 쓰고 있습니다 가격도 착하고 크기도 넉넉해서 좋아요 낱개포장 되어 있네요 한달사용기재구매너무 좋아서 또 구매할께요 한달사용기재구매좋아요더운날에 잘사용했어요 한달사용기재구매사이즈도 좋고 국산이라 재구매 반복해요 배송은 오래걸렸지만 제품은 만족합니다 재구매여름용으로 주문해서 잘쓰고 있어요답답하지도 않고너무 좋아요 운동할때 쓰고 가볍고편함 한달사용기숨쉬기  편하고 마스크 잔먼지가 없어서아주 좋아요 재구매10개째 구매합니다 품질 좋고 배송도 빠르고 여름에 착용하기 매우 좋아요 재구매좋아요매끄럽네요 배송이 빠르고 제품도 좋아요 재구매한국제품이라 안심되어서 매번 구매하고있어요 너무 더워서 얇은 마스크를 검색하다 구매했는데 숨쉬기 편하고 마스크가 코팅된것처럼 매끄러워 살에 붙지 않아서 좋네요 한달사용기재구매여름용으로 너무 좋아요 답답하지 않고 각개 포장도 맘에 들구요 한달사용기숨쉬기편 하고 개별 포장이라 맘에들고 마스크가 커서 남성이 쓰기도 좋아요 재구매가볍고 숨 쉬기 편해요 개별포장에 냄새없어서 만족해요 재구매매번사용하는 마스크감사해요 한달사용기정말 종아요 좋아요 한달사용기개별포장좋아요 앞두구분이있는 로고나 마크가있었으면해요 앞뒤구분이 매번 헷갈리네용 한달사용기좋아요또주문할게요 재구매벌써 7박스째 구매네요 가격도 저렴하고 배송도 빠르고 상품 또한 말해 뭐해요 잘 쓰겠습니다 번창하세요 한달사용기국산이라 믿을만하고 사이즈도 넉넉한 편이에요 개별포장도 좋구요 한달사용기더운요즘 쓰기좋아요 잘쓰고 있어요낱개 포장이라 좋아요 여름이라 주문했습니다 믿고 사용합니다 깔끔하고 빠름 ㅋㅋ 한달사용기괜찮습니다 품질대비 비산편이네요  아주 좋다기보다는 그냥 괜찮습니다 여름용으로 딱조아요 또 주문했어요 합리적인 가격 좋은 제품 빠른 배송 감사합니다 한달사용기개별 포장이라 비상용으로 가방에 넣어두기에 좋아요 다른마스크는 보풀땜에 가려웠는데 이건 괜찮네요 30개 사서 좋아서 90개 셋박스 주문합니다 많이 파세요 잘받았습니다 감사합니다 크리넥스라  믿고 구매했어요 사이즈가 남성이 써도 충분할 만큼 넉넉하고 개별 포장되어있으며 숨쉬기 좋아요 항상 쓰고있지만 너무좋아요 한달사용기늘잘쓰고있어요 또 구매하러올께요 매번 사용하는 마스크예요 여름이라 숨쉬기 쉬운걸로 구매요택배사는 별루입니다 여름이라 더워서 94는 못쓰겠어서 주문했어요귀도 안아프고 좋네요 재구매품질은 제일 좋은 것 같아요 벌크도 있으면 좋겠어요 좋아요 장시간 착용해도 귀가 안아프고 좋아 재구매 해요 가족이 사용하려고 샀는데 한개씩 소포장 되어서 꺼낼 때 위생적일 거 같아 맘에 듭니다그리고 가방에 여유분을 챙기기에도 좋을 거 같아요 한달사용기역시 국산입니다 부드럽고 하나씩 포장되어있어 깔끔해요 비닐 쓰레기가 나오는건 어쩔수없지만 한달사용기편해서  잘쓰고  있어요 한달사용기더운 날 잘 쓰고 있습니다 잘쓰고있어요잘쓰고있어요 한달사용기재구매냄새도 없고 개별포장되어있어 좋아요 피부에도 자극없네요 냄새도 안나고 배송도 빠르고 좋아요 좋아요 ㅎㅎ 개별포장되어있어서 더 좋아요 여름철 대비해서 구입했는데 품질도 좋고 만족합니다 안쪽 면이 코팅 되어있어서 피부 마찰이 덜해서 좋아요 철사도 견고하구요 배송 정말 빠르네요 숨 좀 편히 쉬려고 구매했는데 개별포장되어있어 좋습니다 하나씩 낱개 포장이 되어있어서 위생적이고 좋아요 한달사용기요거 모양이 엉망 마감 완전 엉망 갠적으로 못써서 공용으로 쓰게 내 놓았어요 개별포장이고 크리넥스라 구매했습니다운동할때 사용하기 좋아요 낱개 포장이고 국산이라 좋습니다 얇고 좋아요지금부터 여름까지 쭉 사용할것같아요 얇고 가벼워서 더운 날씨에 착용하기에 좋습니다 잘도착했어요 야외용으로 이용합니다 배송 빠르게 도착했어요 크리넥스에 개별포장이라 타사보다 가격대가 있어도 샀어요 근데비말차단이라는 표시가 없네요 ㅠㅠ 그점이 아쉬워요 가격만 점 착해지길 바래요 피부에 닿을때 간혹 따가운 제품들이 있는데 이제품은 부드럽고 좋아서 재 구매 합니다 아이꺼보니 너무 괜찮아서 어른것도 샀어요 조아요ㅜ깔끔해요 조아뇨 아이들이 94는 답답하다고 해서 주문 했어요 견고하고 냄새도 없고 맘에 들어요 개별포장으로 위생적으로 활용할수 있어 좋아요 개별포장이라 위생적으로 쓸수있어 좋아요 여름에 쓰기 딱 좋아요 크기도 딱 맞고 좋아요 유한킴벌리 국산제조라 믿고 샀습니다 배송 아주 빨라요 늘 쓰는일회용 크리넥스가 짜응 처음 사용하는 제품이지만 크리넥스 이름믿고 구입해 봅니다 아주 좋은 제품 입니다 배송이좀늦어서가격도 이제 좀내렸으면 좋겠는데개별포장되어있어서 좋아요품질도 좋아요 착용하기 편리합니다 크리넥스 제품은  다 좋습니다 빠른 배송 감사합니다 Kf쓰다가 갈아타니까 숨쉬기가 훨씬 편하고 좋네용 빠른 배송 감사합니다
[대형] 헬스웰 컬러풀 KF94황사방역마스크 5컬러 미세먼지차단 패션마스크 5매입,4,5.0,950,먼지차단마스크,KF94/N95,미세먼지필터@김서림방지@일회용@접이식,https://shop-phinf.pstatic.net/20210816_54/16291136050051TrYa_PNG/30249384720921541_1142768919.png?type=m510,https://smartstore.naver.com/abcd112/products/5793381556,색상은 괜찮아요기분 전환용으로 상품 잘 받았습니다 상품 잘 받았습니다 상품 잘 받았습니다
마스크프렌즈 컬러마스크 KF94화이트블랙 L M S 개별포장 10매입 장도연마스크,9,5.0,5500,먼지차단마스크,KF94/N95,미세먼지필터@김서림방지@저자극@방한@자외선차단@방수@일회용@접이식,https://shop-phinf.pstatic.net/20211122_292/1637555939956AGXPv_JPEG/38691774731329826_460740800.jpg?type=m510,https://smartstore.naver.com/jiwon-jeong/products/6015404523,BEST배송 ★★★★★적정한 배송 시간포장 ★★★★★견고하게 찌그러지지 않음가격 ★★★★★타 프리미엄 라인보다 좋음품질 ★★★★★더 써보아야 하겠지만 끝 접착 견고함과 마감이 좋음구매 사이즈 L 얼굴이 큰편은 아니나 넉넉히 핏감좋고 딱 맞음 추가로 안감면이 부드러워 피부에 부담이 적어 보임프리미엄 라인 여러가지 구매해보았으나 안감면과 두께감에서 오는 푹신함은 제일 좋아 보임 하루 착용해보니 추가로 구매할 의향이 큼 자녀들도 마스크쓰다보니 아직 어리지만 피부에 붉은 트러블이 생겼는데 현재 마스크 소진한 뒤 구매예정 현재까지는 강추합니다 기존 새부리형 마스크 보다 폭신함이 틀리네요요즘 마스크 들이 많이 보이다 보니 이것저것 많이 사용 해보고있긴 한대거의 대부분의 마스크에서 보이던 퇴근시간때쯤 보이던 보풀 현상이거의없네요 제가 특히나 수염이 굻고 거칠어서 보풀현상이 도드라지는것도있긴 했엇는대 이제품은 안감이 부드럽고 약간 미끌거리는점이상당히 맘에듬니다 보풀없는 최고의 마스크인거같습니다 BEST장도연마스크가 있길해 주문해봤어요핑크색 색감도 너무이쁘고 착용감도 너무좋네요다른마스크와다르게 오래착용하고 있어도 귀가안아퍼서 완전 짱짱입니다다음번에는 다른색상도 섞어서 시켜봐야겠네요다른마스크써서 귀불편하신분들 강추합니다 기존에 지원정 마스크 를  쓰고있어서 기존 쓰던 것보다 프리미엄급이라 조금비싸서 고민하다시켰는데 잘한거같네요어른껀 옆면이살짝 길어진느낌이고 재질이훨씬좋아진거 같아요 아이들껀 재질이부드럽고 더편하게 착용이되는거같아요 애들이 색상도 너무 좋아하네요ㅎ  그리고 직원분의친절한 응대 너무감사합니다잘쓸게유 포장도 깔끔하고 세련되게 잘되어있고 마스크재질도 좋고 오래착용해도 귀도 안아프고 좋아요 잘산것같아요 빠른배송 감사합니다콧등도 잘 잡아주고 밀착력도 좋구 귀끈도 부드럽고숨쉬기 불편함도 전혀없는 안전하게 쓸수있는 마스크굿입니다 배송도 빠르고 되게 고급스러워보이고 앞으로 이것만 사용할꺼같아요 마스크가넘흐좋아요 또구매의사있어요 가성비가 정말 좋네요귀도 안아프고 되게 편합니다
푸름웰니스 비움 KF94마스크 대형 화이트 블랙 그레이 10매,1,5.0,4900,먼지차단마스크,KF94/N95,김서림방지@미세먼지필터@저자극@일회용@접이식,https://shop-phinf.pstatic.net/20210813_74/1628833834252cBe6I_JPEG/29969662061648838_1195328258.jpg?type=m510,https://smartstore.naver.com/maskshoping/products/5787567447,안감도 부드럽고 얼굴을 많이 가려줘요
KF94 마스크 생활속 황사방역 마스크 블랙 100매,13,4.8,23900,먼지차단마스크,KF94/N95,미세먼지필터@일회용@접이식,https://shop-phinf.pstatic.net/20210311_84/1615426379594wWJ6f_JPEG/16562159312687003_1270731162.jpg?type=m510,https://smartstore.naver.com/solidlinka2/products/5447494100,재구매입니다 저렴하면서 품질도 좋아요 배송도 빠르고 사용감이 너무좋아서 이브랜드 제품쓰고있는데 여기가 가장 저렴했어요 한달사용기BEST와이프가 너무 좋아하네요완전 가성비 최고 한달사용기너무 편하고 좋아요 크기가 넉넉해서 귀가 아프지 않아요 색깔도 맘에 들고 가격도 저렴해서 매우 만족 합니다 품질도 좋고 가격도 개당 300원꼴 완전 좋아요 좋ㅇㅏ요 저렴한 가격 매번 이것만 써요 항상쓰는제품얼굴도작아보이고만족합니다 크기가  약간 작으나  좋습니다 한달사용기상태좋고 애들이  귀도 안아프다하네요 저희 아빠가 요식업 하셔서 하얀 마스크 끼고 하시면 금방 더러워 져서 위생적으로 보이지 않는다 하셔서 까만 마스크로 구매했는데 배송도 빠르고 만족 하시네용 근데 제생각엔 아빠가 착용한거 보니 좀 작아보여서 안불편하냐고 물어봤는데 불편한거 없다고 하시네용  안면도 잘 되있고 무엇보다 귀가 아프지 않네요 ㅎㅎ 저렴한 가격에 잘 산거 같아요  오늘 받아보니 황사미세먼지 및 코로나 예방에 도움이 많이 되어서 만족합니다 귀가아프지않고  좋아요
